"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank",".groups","oppo_fb_pct_norm","oppo_fb_ev_norm","high_aa_pct_norm","loft_deficiency_score","loft_cohort","angles_tier","interaction_cohort"
"1",1,"Abrams, CJ",417,15.1,28.9,34.5,15.5,25.6,89.3,0,2024,"R","Overall","MLB",26.1,64.7,0,0,43.1,64.9,"drop",0.261,0.353,1,0.47795,"Neutral Loft","Average","Underperformers"
"2",2,"Abreu, Wilyer",278,19.3,28.7,34.5,16.4,23.2,89.8,0,2024,"R","Overall","MLB",16.5,69.9,0,0,43.1,89.5,"drop",0.165,0.301,1,0.42135,"Neutral Loft","Average","Underperformers"
"3",3,"Acuña Jr., Ronald",139,8.9,26,31.7,11.4,26.7,92.2,0,2024,"R","Overall","MLB",31.8,92,0,0,18.8,14.8,"drop",0.318,0.08,1,0.4052,"Neutral Loft","Below Average","Underperformers"
"4",4,"Adames, Willy",440,20.6,27.4,38.4,23,28.7,90.9,0,2024,"R","Overall","MLB",39.3,82.2,0,0,78.4,94.2,"drop",0.393,0.178,1,0.4695,"Neutral Loft","Excellent","Structural"
"5",5,"Adell, Jo",282,15.8,31.3,31.2,15.9,36,91.5,0,2024,"R","Overall","MLB",69.4,86.7,0,0,14,69.9,"drop",0.694,0.133,1,0.57415,"Neutral Loft","Below Average","Underperformers"
"6",6,"Ahmed, Nick",157,13.4,29.6,32.5,14.1,20,86.4,0,2024,"R","Overall","MLB",6.8,28.3,0,0,25.3,49.1,"drop",0.068,0.717,1,0.52815,"Neutral Loft","Below Average","Underperformers"
"7",7,"Albies, Ozzie",338,18.4,28.9,34.9,14.1,24.5,83.8,0,2024,"R","Overall","MLB",21.1,8,0,0,46.6,86.2,"drop",0.211,0.92,1,0.6564,"Poor Loft","Average","Rebuilders"
"8",8,"Alexander, Blaze",116,8.5,31.8,24.1,7.1,46.7,88.5,0,2024,"R","Overall","MLB",95,54.4,0,0,0.5,13,"drop",0.95,0.456,1,0.7896,"Poor Loft","Below Average","Rebuilders"
"9",9,"Alonso, Pete",440,14.4,27.7,31.6,14.4,37.9,92.3,0,2024,"R","Overall","MLB",76.4,93,0,0,17.8,58.1,"drop",0.764,0.07,1,0.5801,"Neutral Loft","Below Average","Underperformers"
"10",10,"Altuve, Jose",496,14.1,26.3,36.5,17.4,23.5,87.6,0,2024,"R","Overall","MLB",18,41.1,0,0,64.2,55.1,"drop",0.18,0.589,1,0.52815,"Neutral Loft","Good","Other"
"11",11,"Alvarez, Francisco",224,6.9,30.4,28.1,6.4,43.5,89.9,0,2024,"R","Overall","MLB",91.7,70.4,0,0,3.3,8.3,"drop",0.917,0.296,1,0.7204,"Poor Loft","Below Average","Rebuilders"
"12",12,"Alvarez, Yordan",460,18.3,26.2,37.4,15.2,33.5,89.4,0,2024,"R","Overall","MLB",60.9,65.9,0,0,71.4,86,"drop",0.609,0.341,1,0.61295,"Poor Loft","Good","Other"
"13",13,"Amaya, Miguel",267,11.1,28.4,36,7.5,39.7,88.2,0,2024,"R","Overall","MLB",83.5,48.6,0,0,58.9,30.8,"drop",0.835,0.514,1,0.7639,"Poor Loft","Average","Rebuilders"
"14",14,"Anderson, Tim",166,1.4,23.2,31.9,9.9,52.4,89.7,0,2024,"R","Overall","MLB",98.5,68.4,0,0,20.8,0.5,"drop",0.985,0.316,1,0.7546,"Poor Loft","Below Average","Rebuilders"
"15",15,"Andujar, Miguel",261,9.2,31.8,26.4,2.9,36.2,84.3,0,2024,"R","Overall","MLB",69.9,11,0,0,2,17.8,"drop",0.699,0.89,1,0.8411,"Poor Loft","Below Average","Rebuilders"
"16",16,"Arcia, Orlando",430,8.6,33.8,30.7,9.4,22.8,89.3,0,2024,"R","Overall","MLB",15.8,64.7,0,0,12,13.5,"drop",0.158,0.353,1,0.43675,"Neutral Loft","Below Average","Underperformers"
"17",17,"Arenado, Nolan",493,17,27.9,36.9,11.2,14.7,86,0,2024,"R","Overall","MLB",1.5,24.3,0,0,68.9,78.9,"drop",0.015,0.757,1,0.52095,"Neutral Loft","Good","Other"
"18",18,"Arias, Gabriel",101,5.6,31.3,35.6,10.2,50,88.8,0,2024,"R","Overall","MLB",97,58.1,0,0,52.9,5.3,"drop",0.97,0.419,1,0.78465,"Poor Loft","Average","Rebuilders"
"19",19,"Arozarena, Randy",383,13.2,31.9,29.8,12.8,31.1,93,0,2024,"R","Overall","MLB",49.6,94.5,0,0,7.8,46.6,"drop",0.496,0.055,1,0.46765,"Neutral Loft","Below Average","Underperformers"
"20",20,"Arraez, Luis",608,13.7,23.9,43.1,12.8,31.8,86.9,0,2024,"R","Overall","MLB",53.4,35.6,0,0,97.5,52.9,"drop",0.534,0.644,1,0.689,"Poor Loft","Excellent","Compensators"
"21",21,"Bader, Harrison",313,11.9,29,36.1,9.7,17.6,85.3,0,2024,"R","Overall","MLB",4,17.8,0,0,60.4,36.3,"drop",0.04,0.822,1,0.5537,"Neutral Loft","Good","Other"
"22",22,"Bailey, Patrick",305,12,25.4,38.7,9.8,35.1,88.2,0,2024,"R","Overall","MLB",66.4,48.6,0,0,79.9,36.8,"drop",0.664,0.514,1,0.6955,"Poor Loft","Excellent","Compensators"
"23",23,"Barger, Addison",148,12.1,31.5,33.1,11.5,22.5,86.8,0,2024,"R","Overall","MLB",14.3,34.3,0,0,29.1,37.8,"drop",0.143,0.657,1,0.53715,"Neutral Loft","Below Average","Underperformers"
"24",24,"Barnes, Austin",104,9.5,28.4,31.7,0.9,29.4,82.8,0,2024,"R","Overall","MLB",41.4,4.8,0,0,18.8,20.3,"drop",0.414,0.952,1,0.7488,"Poor Loft","Below Average","Rebuilders"
"25",25,"Bart, Joey",181,10.5,27.3,34.3,14.8,32.6,89.9,0,2024,"R","Overall","MLB",56.1,70.4,0,0,40.9,27.3,"drop",0.561,0.296,1,0.578,"Neutral Loft","Average","Underperformers"
"26",26,"Baty, Brett",110,10.3,28.3,29.1,11.4,38.5,85.8,0,2024,"R","Overall","MLB",78.4,22.3,0,0,6.3,25.6,"drop",0.784,0.777,1,0.83555,"Poor Loft","Below Average","Rebuilders"
"27",27,"Bauers, Jake",181,22.6,25.8,42,22.6,20,91.8,0,2024,"R","Overall","MLB",6.8,89.7,0,0,95.5,98.5,"drop",0.068,0.103,1,0.31325,"Good Loft","Excellent","Structural"
"28",28,"Beck, Jordan",106,13.4,26.7,34.9,17.2,45.2,86.3,0,2024,"R","Overall","MLB",94,27.3,0,0,46.6,49.1,"drop",0.94,0.727,1,0.88045,"Poor Loft","Average","Rebuilders"
"29",29,"Bell, Josh",421,10.5,27.1,33,11.4,32.3,88.1,0,2024,"R","Overall","MLB",55.6,47.6,0,0,28.8,27.3,"drop",0.556,0.524,1,0.6558,"Poor Loft","Below Average","Rebuilders"
"30",30,"Bellinger, Cody",432,17.4,28.5,34.3,15.7,28.5,85.2,0,2024,"R","Overall","MLB",38.3,16.3,0,0,40.9,81.7,"drop",0.383,0.837,1,0.69615,"Poor Loft","Average","Rebuilders"
"31",31,"Benintendi, Andrew",382,16.1,27.1,38.2,18.7,26.2,86.7,0,2024,"R","Overall","MLB",29.6,32.8,0,0,76.9,71.4,"drop",0.296,0.672,1,0.6036,"Poor Loft","Excellent","Compensators"
"32",32,"Benson, Will",190,18.2,26.3,38.9,20.3,26.5,88.7,0,2024,"R","Overall","MLB",30.3,56.1,0,0,82,85,"drop",0.303,0.439,1,0.52485,"Neutral Loft","Excellent","Structural"
"33",33,"Betts, Mookie",397,21.4,25.2,41.6,15.2,25,87.3,0,2024,"R","Overall","MLB",22.8,38.6,0,0,93.2,96.2,"drop",0.228,0.614,1,0.5561,"Neutral Loft","Excellent","Structural"
"34",34,"Bichette, Bo",249,7.2,26.5,32.9,6,45.5,88.3,0,2024,"R","Overall","MLB",94.2,51.6,0,0,27.8,8.8,"drop",0.942,0.484,1,0.7962,"Poor Loft","Below Average","Rebuilders"
"35",35,"Biggio, Cavan",114,21.2,28.3,39.5,25.5,21.9,86.4,0,2024,"R","Overall","MLB",11.5,28.3,0,0,84,95.2,"drop",0.115,0.717,1,0.54695,"Neutral Loft","Excellent","Structural"
"36",36,"Blackmon, Charlie",363,16.4,29.9,36.6,14.4,27.6,83.2,0,2024,"R","Overall","MLB",34.6,5.5,0,0,65.2,74.9,"drop",0.346,0.945,1,0.71915,"Poor Loft","Good","Other"
"37",37,"Bleday, JJ",446,18.6,28.6,38.1,13.1,27.9,87.8,0,2024,"R","Overall","MLB",35.1,43.1,0,0,76.2,86.5,"drop",0.351,0.569,1,0.58955,"Neutral Loft","Excellent","Structural"
"38",38,"Bogaerts, Xander",355,10.9,27.9,32.7,10.2,20,86.7,0,2024,"R","Overall","MLB",6.8,32.8,0,0,26.3,30.1,"drop",0.068,0.672,1,0.5124,"Neutral Loft","Below Average","Underperformers"
"39",39,"Bohm, Alec",474,10.1,26.1,36.9,9.1,37.8,88,0,2024,"R","Overall","MLB",75.7,45.4,0,0,68.9,25.1,"drop",0.757,0.546,1,0.7439,"Poor Loft","Good","Other"
"40",40,"Bregman, Alex",499,18.2,29.3,35.5,14,32.6,88.2,0,2024,"R","Overall","MLB",56.1,48.6,0,0,51.6,85,"drop",0.561,0.514,1,0.6543,"Poor Loft","Average","Rebuilders"
"41",41,"Brennan, Will",281,13.3,29.8,33.8,10,29.6,86.1,0,2024,"R","Overall","MLB",42.6,24.6,0,0,36.1,48.4,"drop",0.426,0.754,1,0.6843,"Poor Loft","Below Average","Rebuilders"
"42",42,"Bride, Jonah",184,11.8,33.5,30.4,9.6,35.7,87.7,0,2024,"R","Overall","MLB",68.2,41.9,0,0,10.5,35.3,"drop",0.682,0.581,1,0.72615,"Poor Loft","Below Average","Rebuilders"
"43",43,"Brown, Seth",259,14.6,29.9,36.7,14.3,35.1,89.1,0,2024,"R","Overall","MLB",66.4,62.2,0,0,66.4,59.9,"drop",0.664,0.378,1,0.6479,"Poor Loft","Good","Other"
"44",44,"Bruján, Vidal",189,8,29.7,31.2,6.5,37.8,79.4,0,2024,"R","Overall","MLB",75.7,0.8,0,0,14,11.8,"drop",0.757,0.992,1,0.9,"Poor Loft","Below Average","Rebuilders"
"45",45,"Burger, Jake",389,13,29.5,33.4,14.6,24.5,90.7,0,2024,"R","Overall","MLB",21.1,78.4,0,0,33.6,44.6,"drop",0.211,0.216,1,0.41,"Neutral Loft","Below Average","Underperformers"
"46",46,"Burleson, Alec",475,13.6,27.8,35.8,13.8,38.5,90.7,0,2024,"R","Overall","MLB",78.4,78.4,0,0,56.1,52.1,"drop",0.784,0.216,1,0.6392,"Poor Loft","Average","Rebuilders"
"47",47,"Busch, Michael",337,17.1,27.2,37.4,20.4,34.3,91.9,0,2024,"R","Overall","MLB",63.2,90.7,0,0,71.4,80.7,"drop",0.632,0.093,1,0.53535,"Neutral Loft","Good","Other"
"48",48,"Butler, Lawrence",308,11.3,27.5,35.7,12.3,35.8,89.4,0,2024,"R","Overall","MLB",68.7,65.9,0,0,54.9,33.1,"drop",0.687,0.341,1,0.64415,"Poor Loft","Average","Rebuilders"
"49",49,"Buxton, Byron",258,19.8,29.3,39.5,17.1,17.3,91.5,0,2024,"R","Overall","MLB",3.8,86.7,0,0,84,91.5,"drop",0.038,0.133,1,0.31175,"Good Loft","Excellent","Structural"
"50",50,"Báez, Javier",206,11.2,28.4,29.6,9,26.4,85.1,0,2024,"R","Overall","MLB",30.1,16,0,0,7,32.6,"drop",0.301,0.84,1,0.6644,"Poor Loft","Below Average","Rebuilders"
"51",51,"Caballero, José",303,15.8,28.6,35.6,16.6,14.7,80.5,0,2024,"R","Overall","MLB",1.5,1.5,0,0,52.9,69.9,"drop",0.015,0.985,1,0.60075,"Poor Loft","Average","Rebuilders"
"52",52,"Cabrera, Oswaldo",237,12.5,28.5,35.9,7.1,37.5,83.7,0,2024,"R","Overall","MLB",74.2,7,0,0,57.6,41.1,"drop",0.742,0.93,1,0.8723,"Poor Loft","Average","Rebuilders"
"53",53,"Calhoun, Willie",199,12.4,32.3,31.2,5.7,27.3,84.9,0,2024,"R","Overall","MLB",34.1,15,0,0,14,40.1,"drop",0.341,0.85,1,0.6839,"Poor Loft","Below Average","Rebuilders"
"54",54,"Cameron, Daz",120,8.6,25.9,38.3,3.4,26.5,88.9,0,2024,"R","Overall","MLB",30.3,59.1,0,0,77.9,13.5,"drop",0.303,0.409,1,0.51435,"Neutral Loft","Excellent","Structural"
"55",55,"Caminero, Junior",127,6.7,37.1,25.2,9.2,37,92.6,0,2024,"R","Overall","MLB",72.7,94,0,0,0.8,7.5,"drop",0.727,0.06,1,0.5618,"Neutral Loft","Below Average","Underperformers"
"56",56,"Campusano, Luis",237,9.9,29.3,31.6,6.1,27.1,88,0,2024,"R","Overall","MLB",33.1,45.4,0,0,17.8,23.1,"drop",0.331,0.546,1,0.5735,"Neutral Loft","Below Average","Underperformers"
"57",57,"Candelario, Jeimer",316,12.4,28.7,35.4,15.6,25.8,87.1,0,2024,"R","Overall","MLB",27.3,36.8,0,0,51.1,40.1,"drop",0.273,0.632,1,0.5804,"Neutral Loft","Average","Underperformers"
"58",58,"Canha, Mark",302,9.6,29,33.1,8.2,24.2,89.9,0,2024,"R","Overall","MLB",20.3,70.4,0,0,29.1,20.8,"drop",0.203,0.296,1,0.4348,"Neutral Loft","Below Average","Underperformers"
"59",59,"Canzone, Dominic",117,9.1,33,33.3,13.2,35.9,91.2,0,2024,"R","Overall","MLB",69.2,84.5,0,0,31.6,17,"drop",0.692,0.155,1,0.58105,"Neutral Loft","Below Average","Underperformers"
"60",60,"Caratini, Victor",195,9.2,24.7,37.9,6.2,34,87.4,0,2024,"R","Overall","MLB",62.4,39.3,0,0,75.4,17.8,"drop",0.624,0.607,1,0.71205,"Poor Loft","Excellent","Compensators"
"61",61,"Carlson, Dylan",161,15.8,27.8,31.7,20.5,28,84,0,2024,"R","Overall","MLB",36.1,9.3,0,0,18.8,69.9,"drop",0.361,0.907,1,0.71185,"Poor Loft","Below Average","Rebuilders"
"62",62,"Carpenter, Kerry",192,17.6,26.3,42.2,20.9,33.3,93.2,0,2024,"R","Overall","MLB",58.9,95,0,0,96.2,83,"drop",0.589,0.05,1,0.5031,"Neutral Loft","Excellent","Structural"
